Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83985;28/07/1962;0000;;19.2;;;2.2;13.34;69.75;3.333333;
83985;28/07/1962;1200;0;;8.2;;;;;;
83985;29/07/1962;0000;;14.2;;;2.7;13.48;90.25;3.333333;
83985;29/07/1962;1200;0;;11.2;;;;;;
83985;30/07/1962;0000;;15.4;;;0.5;13.52;97.75;2;
83985;30/07/1962;1200;21;;12.5;;;;;;
83985;31/07/1962;0000;;18.8;;;0.2;14.5;87;0;
83985;31/07/1962;1200;2;;11.6;;;;;;
83985;01/08/1962;0000;;17.8;;;1.3;13.06;98.5;3.333333;
83985;01/08/1962;1200;0;;10.4;;;;;;
83985;02/08/1962;0000;;17.8;;;1.5;10.76;81.75;2;
83985;02/08/1962;1200;0;;5.5;;;;;;
83985;03/08/1962;0000;;22;;;1.5;12.04;79.75;0;
83985;03/08/1962;1200;0;;4.7;;;;;;
83985;04/08/1962;0000;;27;;;5.5;17;83;0;
83985;04/08/1962;1200;0;;9.2;;;;;;
83985;05/08/1962;0000;;27.4;;;2;18.2;81;2;
83985;05/08/1962;1200;0;;8.3;;;;;;
83985;06/08/1962;0000;;29;;;1;18.34;74.75;3.333333;
83985;06/08/1962;1200;0;;9;;;;;;
83985;07/08/1962;0000;;31;;;3;19.58;69.5;0.666667;
83985;07/08/1962;1200;0;;7.6;;;;;;
83985;08/08/1962;0000;;30.6;;;5.5;19.58;73.5;3.333333;
83985;08/08/1962;1200;0;;12.4;;;;;;
83985;09/08/1962;0000;;17.2;;;3;14.88;95.75;0.666667;
83985;09/08/1962;1200;0;;10.6;;;;;;
83985;10/08/1962;0000;;18.8;;;0.4;13.38;79.25;5.333333;
83985;10/08/1962;1200;11.4;;7.3;;;;;;
83985;11/08/1962;0000;;13.4;;;3.2;10.52;84.75;10.666667;
83985;11/08/1962;1200;2.2;;5.4;;;;;;
83985;12/08/1962;0000;;13;;;2.7;8.2;73;7.333333;
83985;12/08/1962;1200;0;;2.8;;;;;;
83985;13/08/1962;0000;;15.4;;;0.1;8.24;82.5;2;
83985;13/08/1962;1200;20;;2.5;;;;;;
83985;14/08/1962;0000;;18.2;;;1.7;12.58;78.75;5.333333;
83985;14/08/1962;1200;0;;1.2;;;;;;
83985;15/08/1962;0000;;15.4;;;2.1;12.54;98;0;
83985;15/08/1962;1200;9;;8.8;;;;;;
83985;16/08/1962;0000;;20.9;;;0.4;12.82;79.75;5.333333;
83985;16/08/1962;1200;4.2;;6.7;;;;;;
83985;17/08/1962;0000;;24.6;;;2.3;13.24;66.5;6;
83985;17/08/1962;1200;0;;2.9;;;;;;
83985;18/08/1962;0000;;24.5;;;4.3;13.08;83.25;6.666667;
83985;18/08/1962;1200;0;;2.7;;;;;;
83985;19/08/1962;0000;;12.9;;;3.3;5.98;66.25;4;
83985;19/08/1962;1200;5.4;;0;;;;;;
83985;20/08/1962;0000;;13.7;;;3.8;5.68;73;4.666667;
83985;20/08/1962;1200;0;;-0.5;;;;;;
